Years,USA,ENGLAND,CANADA,GERMANY,JAPAN,FRANCE,ITALY,AUSTRALIA,SWEEDEN,SPAIN
1960,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0
1966,4,1,0,0,0,0,0,0,1,0
1967,2,1,1,0,0,0,0,0,1,0
1968,0,0,0,0,0,0,0,0,0,0
1969,9,0,1,0,0,0,0,0,0,0
1970,5,0,0,0,0,0,0,0,0,0
1971,5,0,0,0,0,0,0,0,0,0
1972,7,0,3,0,0,4,2,0,0,0
1973,156,28,14,0,1,3,5,1,9,1
1974,193,25,18,0,1,11,6,3,8,2
1975,143,27,23,0,2,16,13,3,10,0
1976,171,14,15,0,6,8,4,3,3,1
1977,172,14,17,0,1,4,12,2,17,3
1978,175,23,15,0,0,5,9,2,14,1
1979,123,28,15,0,1,12,5,1,3,1
1980,155,17,14,0,3,5,8,1,5,1
1981,139,15,14,0,0,7,2,3,7,0
1982,151,15,18,0,2,4,1,1,3,2
1983,115,22,15,1,3,8,5,3,3,3
1984,101,8,14,2,6,13,4,1,2,1
1985,93,12,14,0,2,14,2,1,7,2
1986,106,13,28,1,8,3,5,2,7,1
1987,94,10,13,0,3,6,5,2,5,0
1988,99,14,12,1,3,10,7,0,5,4
1989,91,13,11,1,5,5,3,1,7,2
1990,126,10,19,6,19,9,2,3,2,1
1991,346,51,67,18,39,35,26,12,18,9
1992,367,56,65,11,26,28,27,13,27,16
1993,372,54,69,14,38,34,18,12,20,15
1994,354,62,75,14,32,28,24,15,33,22
1995,353,59,64,23,44,46,25,15,28,17
1996,400,61,69,43,69,40,26,12,22,20
1997,420,73,47,40,53,39,31,21,26,26
1998,435,68,50,37,33,42,27,14,20,19
1999,462,72,48,36,35,46,22,21,37,25
2000,447,73,57,48,49,45,29,18,26,26
2001,439,63,47,25,44,38,31,18,20,17
2002,431,74,57,37,46,44,40,25,18,21
2003,458,84,55,58,53,47,37,26,21,24
2004,474,74,53,59,41,40,35,29,25,36
2005,540,84,71,50,49,52,37,47,32,32
2006,507,44,73,58,53,34,45,55,22,28
2007,499,59,67,59,57,46,51,36,36,32
2008,516,75,61,43,43,32,54,48,32,29
2009,518,77,66,46,46,24,36,49,18,35
2010,458,78,76,52,36,26,52,53,29,39
2011,474,65,64,49,48,21,40,59,32,41
2012,465,62,59,59,22,28,52,56,33,40
2013,522,80,61,63,39,32,41,62,35,43
2014,498,77,83,53,38,30,50,54,35,40
2015,386,62,56,53,24,25,42,50,25,34
2016,434,58,69,55,27,29,54,68,20,53
2017,386,64,49,46,21,32,42,71,18,30
2018,387,52,60,59,18,36,48,71,31,42