Years,USA,ENGLAND,FRANCE,JAPAN,ITALY,CANADA,GERMANY,INDIA,AUSTRALIA,SWITZERLAND
1960,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0
1966,1,0,0,0,0,0,0,0,0,0
1967,2,0,0,0,0,0,0,0,0,0
1968,0,0,1,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0,1,0
1970,0,1,0,0,0,0,0,0,0,0
1971,1,0,0,0,0,1,0,0,0,0
1972,3,2,1,0,3,1,0,0,0,0
1973,49,17,5,7,8,11,1,1,2,6
1974,52,27,3,11,18,13,0,1,3,4
1975,70,17,5,11,10,11,0,4,2,8
1976,74,17,10,9,5,13,0,2,3,8
1977,81,35,15,6,12,19,0,3,3,4
1978,125,32,21,10,11,11,0,11,2,5
1979,184,32,12,14,18,18,2,6,3,6
1980,182,32,20,20,14,34,0,3,4,7
1981,210,41,18,21,19,18,1,5,3,22
1982,208,62,13,31,23,23,0,2,16,16
1983,236,78,42,37,25,39,3,8,14,20
1984,228,84,40,35,27,22,15,4,5,18
1985,187,76,33,43,33,20,4,4,3,19
1986,232,79,44,43,28,23,4,9,8,21
1987,258,62,47,42,22,34,3,8,12,18
1988,248,61,41,34,28,27,3,11,14,30
1989,191,63,30,29,37,20,1,4,10,13
1990,241,69,45,28,46,30,37,18,8,25
1991,583,127,99,83,65,52,80,24,22,29
1992,501,136,102,75,83,70,69,17,30,32
1993,561,122,98,78,85,72,75,19,27,37
1994,506,110,89,90,75,79,67,13,32,40
1995,468,145,94,104,70,67,77,8,27,45
1996,447,133,89,105,74,71,79,22,40,28
1997,430,115,100,101,70,60,60,24,25,31
1998,421,110,95,105,71,68,95,40,26,30
1999,380,114,115,98,63,63,60,24,32,30
2000,365,117,95,98,58,54,79,25,37,36
2001,332,86,110,73,71,62,64,19,20,21
2002,346,101,66,78,58,60,81,30,25,29
2003,341,82,69,83,49,54,55,37,31,24
2004,348,114,79,80,49,47,55,35,38,32
2005,347,87,82,75,59,49,74,36,40,27
2006,331,87,84,78,51,51,57,48,30,25
2007,289,76,70,79,57,41,66,60,22,19
2008,339,77,78,80,57,54,74,62,38,27
2009,330,81,79,88,48,69,75,53,60,32
2010,330,75,65,78,48,57,68,69,55,26
2011,304,68,78,64,69,56,60,61,48,25
2012,306,80,68,64,65,60,73,61,57,27
2013,307,69,58,62,53,60,69,57,44,12
2014,323,63,61,53,54,60,66,71,47,28
2015,359,81,62,62,56,55,53,68,58,25
2016,313,65,70,56,59,61,58,84,54,35
2017,347,88,75,62,75,52,63,67,50,26
2018,379,77,76,57,61,67,63,49,56,36