Years,USA,ENGLAND,CANADA,GERMANY,AUSTRALIA,FRANCE,CHINA,ITALY,SPAIN,JAPAN
1960,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0,0,0
1970,1,0,0,0,0,0,0,0,0,0
1971,0,0,0,0,0,0,0,0,0,0
1972,1,0,0,0,0,0,0,0,0,0
1973,7,2,0,0,1,0,0,0,0,1
1974,12,1,1,0,0,0,0,0,0,0
1975,16,3,0,0,0,0,0,0,0,1
1976,16,2,0,0,0,2,0,0,0,1
1977,19,3,0,0,0,1,0,0,0,2
1978,18,2,1,0,0,1,0,0,0,0
1979,13,4,0,0,0,0,0,0,0,2
1980,19,7,1,0,0,1,0,0,0,1
1981,16,3,1,0,0,1,0,1,0,2
1982,20,5,0,0,2,0,0,0,0,2
1983,20,2,1,0,0,0,0,0,2,2
1984,18,4,3,0,1,0,0,0,0,2
1985,20,13,2,0,0,2,0,0,0,2
1986,33,5,1,0,0,0,0,0,0,2
1987,29,2,2,0,0,1,0,0,0,2
1988,16,9,1,0,1,0,0,0,0,2
1989,11,4,1,0,3,1,0,1,1,2
1990,22,2,1,3,2,1,0,0,1,2
1991,37,11,5,7,9,6,0,3,3,2
1992,35,12,3,7,0,7,2,1,1,2
1993,36,2,5,10,3,8,0,5,0,2
1994,47,7,7,9,6,7,1,6,1,2
1995,31,12,8,15,3,9,1,3,4,2
1996,42,14,10,13,7,10,3,3,7,2
1997,45,17,17,9,7,12,1,6,5,2
1998,35,14,7,13,5,11,0,5,4,2
1999,50,14,12,16,3,5,6,8,4,2
2000,41,10,6,14,8,11,0,3,3,2
2001,42,15,13,9,5,5,1,3,7,2
2002,36,13,6,9,5,4,5,4,3,2
2003,43,13,4,7,6,3,6,7,3,2
2004,40,14,5,13,5,11,2,7,3,2
2005,42,16,2,15,8,9,6,8,4,2
2006,42,5,9,13,3,6,7,6,9,2
2007,49,9,8,15,9,3,9,5,10,2
2008,48,9,16,12,4,7,6,6,4,2
2009,45,19,14,16,14,6,11,5,7,2
2010,47,14,19,10,15,5,4,10,10,2
2011,34,14,15,8,20,8,13,9,9,2
2012,43,11,21,10,9,8,10,10,12,2
2013,51,16,17,13,13,10,16,8,13,2
2014,59,14,23,10,12,8,12,12,9,2
2015,60,21,24,8,17,8,13,9,5,2
2016,62,19,13,10,25,8,15,4,6,2
2017,61,32,17,11,20,12,12,7,7,2
2018,80,21,14,16,30,19,14,13,6,2