Year,Alcohol,Cannabis,Cocaine,Benzodiazepines,Amphetamines,Ketamine,Heroin,Methadone,Methamphetamines,MDMA,LSD,GHB,Khat,Psilocybin,Codeine,WoS
1960,381,9,8,0,29,0,8,2,4,0,38,0,1,6,8,225311
1961,490,9,14,5,47,0,3,4,1,0,26,0,1,7,15,247736
1962,476,8,14,9,56,0,11,4,4,1,42,0,4,11,18,261791
1963,588,7,27,20,61,0,9,4,7,0,31,0,1,13,8,281070
1964,597,7,22,37,69,0,10,2,6,3,57,0,1,3,9,318507
1965,611,12,28,44,91,0,8,2,7,2,48,1,2,7,14,390006
1966,761,10,18,57,98,0,15,10,1,3,66,1,1,15,9,425918
1967,905,32,28,61,113,2,31,10,5,2,87,2,2,12,18,452127
1968,1110,46,37,69,140,3,36,8,9,9,112,1,0,10,19,475538
1969,1279,78,21,108,188,32,44,21,16,8,74,1,0,8,18,594470
1970,1387,93,42,110,177,42,51,40,21,7,115,0,0,6,15,612098
1971,1484,176,32,145,242,78,71,74,32,2,95,0,0,4,13,621662
1972,1711,136,23,125,278,79,122,144,21,3,79,0,3,4,18,644177
1973,1667,180,46,180,268,82,173,152,17,2,78,1,0,9,16,648534
1974,1796,186,54,234,321,83,163,170,22,5,78,0,2,9,19,659917
1975,1879,152,67,237,286,84,127,165,20,17,50,0,2,3,27,743901
1976,2017,176,89,225,290,92,105,157,31,7,44,1,4,1,29,778533
1977,2322,155,115,267,294,95,95,138,18,4,63,3,2,7,32,839750
1978,2389,144,106,320,306,95,116,136,21,6,58,2,2,5,33,855328
1979,2736,116,101,437,229,99,122,116,17,6,39,0,9,5,26,878419
1980,2959,137,66,450,242,100,104,111,21,11,38,2,17,4,44,914043
1981,3152,135,92,509,239,101,85,99,28,8,37,4,5,8,33,950435
1982,3353,101,90,549,241,106,88,100,32,7,37,2,7,6,37,987383
1983,3376,166,105,663,217,109,130,79,44,11,31,1,7,3,46,1020380
1984,3659,150,118,657,204,112,145,78,59,13,35,4,11,3,44,1085270
1985,3602,133,133,582,193,115,120,61,51,25,44,0,6,5,47,1112572
1986,4035,155,165,686,223,116,117,68,64,45,24,2,19,3,61,1143609
1987,3999,152,283,660,170,116,117,63,52,35,22,2,23,3,54,1187758
1988,4136,158,412,702,189,117,110,67,54,46,27,3,19,3,41,1214344
1989,3376,133,506,571,174,120,99,69,61,51,25,3,7,2,35,1235921
1990,4221,159,685,706,239,185,98,115,76,66,28,4,10,5,50,1330838
1991,10068,544,1103,1470,668,280,225,204,135,90,67,28,16,2,106,1046656
1992,10456,1773,1288,1388,705,300,252,182,145,108,82,36,15,6,108,1060931
1993,10801,432,1353,1431,687,309,255,204,161,105,86,45,9,7,105,1103534
1994,11691,392,1372,1331,721,348,296,308,175,89,101,28,21,4,112,1161450
1995,12467,522,1360,1339,732,352,284,260,215,101,95,37,17,1,126,1212177
1996,13239,564,1527,1288,830,366,302,340,244,145,100,54,15,5,149,1272227
1997,13282,693,1485,1203,884,408,390,320,241,167,119,54,14,2,156,1303628
1998,13723,814,1512,1283,867,417,375,363,247,167,104,73,12,13,135,1315298
1999,14030,984,1626,1208,908,439,427,368,260,213,134,65,12,12,140,1303460
2000,14141,1083,1605,1132,931,449,479,392,330,215,115,73,21,12,142,1348149
2001,14555,1222,1523,1051,856,471,482,413,268,245,84,84,7,8,144,1328955
2002,14965,1151,1555,1069,936,472,510,403,345,325,128,83,22,18,120,1372741
2003,16110,1248,1701,1015,988,483,533,462,347,330,122,111,22,12,127,1438939
2004,18164,1385,1660,1039,994,498,544,431,407,411,138,132,21,16,137,1534107
2005,19292,1670,1836,1098,1139,521,578,505,485,371,129,102,31,15,151,1654659
2006,20668,1857,1759,1040,1061,541,630,521,544,393,158,96,32,25,146,1748290
2007,22193,2022,1886,1000,1080,544,566,560,597,384,154,95,35,13,159,1895327
2008,24185,2327,2086,1144,1102,639,690,606,645,424,179,97,50,20,154,2011745
2009,25494,2341,1961,1130,1062,670,628,640,644,409,197,113,47,27,170,2141702
2010,27851,2508,2031,1104,1066,698,693,689,671,434,203,97,62,26,182,2171909
2011,30051,2529,2174,1088,1060,757,739,671,700,433,208,118,65,28,186,2275141
2012,31365,2825,2136,1114,1071,873,711,758,798,391,259,94,61,35,185,2377913
2013,33052,2937,2293,1065,1142,911,794,793,762,377,256,83,63,41,210,2475266
2014,34161,3287,2359,1069,1154,968,794,710,820,393,261,80,75,48,218,2573645
2015,36506,3606,2203,1224,957,1220,843,817,824,342,311,74,89,56,216,2923490
2016,37973,3998,2189,1220,1051,1275,882,822,923,392,368,98,76,81,232,3051435
2017,39311,4320,2253,1187,946,1358,998,934,798,346,408,98,91,92,254,3124987
2018,39980,4684,2071,1228,990,1412,1065,868,998,394,431,94,101,125,277,3010397