Years,USA,ENGLAND,GERMANY,JAPAN,CHINA,CANADA,FRANCE,TURKEY,BRAZIL,AUSTRALIA
1960,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0
1967,0,0,0,0,0,0,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0
1969,0,0,0,0,0,0,0,0,0,0
1970,0,0,0,0,0,0,0,0,0,0
1971,1,0,0,0,0,0,0,0,0,0
1972,4,1,0,0,0,0,0,0,0,0
1973,49,9,0,1,0,7,3,0,1,0
1974,61,8,0,2,0,11,2,0,0,0
1975,44,2,0,1,0,4,4,0,1,0
1976,39,9,0,1,0,3,4,0,0,1
1977,42,7,1,5,0,1,1,0,0,1
1978,55,8,0,2,0,3,0,0,0,1
1979,38,8,1,0,0,5,0,0,0,0
1980,45,5,0,1,0,3,0,0,1,4
1981,32,9,0,2,0,4,0,0,0,2
1982,57,9,0,3,1,4,1,0,0,3
1983,40,11,0,4,0,4,1,0,2,0
1984,37,12,0,2,0,3,1,0,4,2
1985,48,10,0,6,0,6,3,0,3,2
1986,61,9,0,7,0,4,4,0,1,3
1987,50,7,0,4,1,6,2,0,1,0
1988,45,13,0,3,0,4,3,0,0,1
1989,45,9,2,5,0,1,4,0,0,2
1990,68,8,19,11,0,6,11,1,0,0
1991,136,16,22,18,2,16,22,2,0,7
1992,118,19,23,15,0,17,11,4,5,4
1993,132,19,24,28,3,20,11,0,1,3
1994,157,18,38,27,2,21,12,1,2,4
1995,149,25,37,30,1,16,13,1,4,8
1996,142,28,28,23,4,28,14,4,4,8
1997,168,18,36,39,3,22,19,2,4,9
1998,167,19,42,65,3,15,15,6,2,7
1999,185,24,38,49,3,25,19,11,2,9
2000,174,30,53,56,7,24,20,8,6,7
2001,154,28,40,42,4,17,20,8,6,16
2002,182,24,35,40,7,22,24,21,10,11
2003,184,36,42,36,12,26,14,23,17,11
2004,172,36,48,27,16,33,23,39,12,13
2005,203,34,38,39,11,24,21,34,15,18
2006,168,38,28,35,17,29,17,22,16,23
2007,196,40,35,33,17,30,32,25,8,17
2008,214,49,35,18,23,37,29,33,30,15
2009,203,57,35,30,22,31,31,37,37,25
2010,215,60,45,21,37,31,22,39,28,22
2011,242,55,51,36,53,33,23,33,38,30
2012,264,72,54,25,58,32,47,40,50,37
2013,320,62,57,28,80,47,36,37,42,40
2014,349,53,47,39,91,46,39,41,44,33
2015,440,87,60,42,113,60,41,67,57,31
2016,459,75,57,53,126,65,39,50,56,39
2017,527,83,63,55,121,53,49,37,64,40
2018,519,82,60,53,152,68,46,46,55,45