Years,USA,CHINA,ENGLAND,CANADA,GERMANY,FRANCE,ITALY,JAPAN,SWITZERLAND,BRAZIL
1960,0,0,0,0,0,0,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0
1966,10,0,0,4,0,0,0,0,0,0
1967,9,0,0,4,0,0,0,0,0,0
1968,11,0,0,2,0,0,0,0,0,0
1969,8,0,0,3,0,0,0,0,0,0
1970,20,0,0,2,0,0,0,0,0,0
1971,7,0,0,1,0,0,0,0,0,0
1972,8,0,0,0,0,0,2,0,0,0
1973,44,0,3,5,0,2,2,2,0,0
1974,41,0,6,4,0,3,5,2,2,0
1975,27,0,4,4,0,2,3,0,2,1
1976,29,0,2,2,0,2,1,1,2,0
1977,34,0,4,5,0,1,1,2,2,0
1978,28,0,2,1,0,2,0,0,10,0
1979,21,0,3,3,0,1,1,0,5,0
1980,18,0,2,2,0,2,0,0,3,0
1981,21,0,3,2,0,0,0,0,2,0
1982,27,0,1,2,0,1,1,0,0,0
1983,18,0,0,1,0,1,0,2,1,0
1984,20,0,6,0,0,0,0,1,1,0
1985,26,0,6,2,0,1,0,1,2,0
1986,10,0,1,0,0,0,2,0,1,0
1987,13,0,1,3,0,0,1,1,0,0
1988,13,0,1,3,0,0,1,1,0,0
1989,12,0,2,5,0,0,0,0,0,0
1990,12,0,2,4,0,2,0,1,0,0
1991,33,1,5,13,3,4,5,2,1,0
1992,28,1,2,8,6,8,8,4,2,2
1993,46,1,2,10,3,3,7,3,1,0
1994,50,0,4,6,3,10,7,3,7,0
1995,47,1,5,6,5,6,9,3,0,0
1996,55,0,10,8,5,6,4,4,2,1
1997,46,2,6,9,5,7,5,3,5,1
1998,42,1,3,10,11,6,5,2,4,2
1999,55,3,7,8,10,10,4,4,6,1
2000,39,0,13,13,9,8,2,5,0,2
2001,27,2,11,5,6,7,2,4,3,0
2002,40,4,8,10,11,8,3,4,2,0
2003,50,0,9,7,10,8,2,5,2,4
2004,51,3,17,2,11,7,5,8,1,7
2005,44,7,10,4,8,10,6,5,3,7
2006,64,6,6,6,13,10,4,5,6,7
2007,47,9,10,11,10,9,5,3,1,6
2008,56,16,12,16,13,16,4,10,3,5
2009,58,20,7,10,16,10,11,4,6,12
2010,50,13,10,11,14,15,10,12,6,9
2011,55,15,18,11,11,18,6,9,1,9
2012,67,52,17,11,19,13,7,10,4,9
2013,66,33,15,6,13,8,11,9,1,9
2014,67,46,25,17,12,17,13,7,6,8
2015,59,46,24,13,22,11,10,10,8,15
2016,71,59,33,17,19,17,16,8,13,19
2017,75,67,22,11,23,23,12,10,23,16
2018,85,54,33,19,31,18,18,12,18,13